map_chips,batch_size,n_size,k_size,topology,total_latency,serialization_latency,first_byte_latency,total_energy,total_network_bytes,max_link_load,transfer_count,dominant_collective,dominant_tensor
64,16,262144,4096,Ring 64,9.07018379662222,9.070135796622221,4.8e-05,831.501373538304,275012124672.0,270582939648.0,3,ALLREDUCE,Matmul0:T1
64,256,4096,2048,"Circulant {1,5,17}",0.6330662837333334,0.6330602837333333,6e-06,103.971494559744,34393292800.0,17179869184.0,3,BROADCAST,Matmul0:T0
64,256,4096,2048,Torus 4x4x4,0.9551918309333334,0.9551828309333333,9e-06,193.0319364096,34393292800.0,25769803776.0,3,ALLREDUCE,Matmul0:T1
64,256,4096,2048,Mesh 4x4x4,1.9111248159111112,1.911111315911111,1.35e-05,386.0638728192,34393292800.0,51539607552.0,3,BROADCAST,Matmul0:T0
64,256,4096,2048,Ring 64,1.1341878016,1.1341398016,4.8e-05,103.971494559744,34393292800.0,33822867456.0,3,ALLREDUCE,Matmul0:T1
64,256,4096,4096,"Circulant {1,5,17}",1.2676178755555556,1.2676118755555557,6e-06,208.078280589312,68853694464.0,34359738368.0,3,BROADCAST,Matmul0:T0
64,256,4096,4096,Torus 4x4x4,1.9118659699555556,1.9118569699555557,9e-06,386.199164289024,68853694464.0,51539607552.0,3,ALLREDUCE,Matmul0:T1
64,256,4096,4096,Mesh 4x4x4,3.826710056088889,3.826696556088889,1.35e-05,772.398328578048,68853694464.0,103079215104.0,3,BROADCAST,Matmul0:T0
64,256,4096,4096,Ring 64,2.2698189112888887,2.2697709112888886,4.8e-05,208.078280589312,68853694464.0,67645734912.0,3,ALLREDUCE,Matmul0:T1
64,256,16384,2048,"Circulant {1,5,17}",2.5300101728,2.5300041728,6e-06,415.68304103424,137472507904.0,68719476736.0,3,BROADCAST,Matmul0:T0
64,256,16384,2048,Torus 4x4x4,3.8185033616,3.8184943616,9e-06,771.924808433664,137472507904.0,103079215104.0,3,ALLREDUCE,Matmul0:T1
64,256,16384,2048,Mesh 4x4x4,7.637747877244445,7.637734377244445,1.35e-05,1543.849616867328,137472507904.0,206158430208.0,3,BROADCAST,Matmul0:T0
64,256,16384,2048,Ring 64,4.5343702442666665,4.534322244266667,4.8e-05,415.68304103424,137472507904.0,135291469824.0,3,ALLREDUCE,Matmul0:T1
