map_chips,batch_size,n_size,k_size,topology,total_latency,serialization_latency,first_byte_latency,total_energy,total_network_bytes,max_link_load,transfer_count,dominant_collective,dominant_tensor
8,256,65536,4096,Torus 4x4x4,244.35978721297778,244.35977821297777,9e-06,49401.02307623731,8797166764032.0,6597069766656.0,3,ALLREDUCE,Matmul0:T1
8,256,65536,4096,Mesh 4x4x4,488.7434308553777,488.7434173553778,1.35e-05,98802.04615247462,8797166764032.0,13194139533312.0,3,BROADCAST,Matmul0:T0
8,256,65536,4096,Ring 64,290.1728107036444,290.1727627036444,4.8e-05,26601.549962674177,8797166764032.0,8658654068736.0,3,ALLREDUCE,Matmul0:T1
8,256,262144,2048,"Circulant {1,5,17}",323.7510616330667,323.7510556330667,6e-06,53199.31176419328,17592454479872.0,8796093022208.0,3,BROADCAST,Matmul0:T0
8,256,262144,2048,Torus 4x4x4,488.6778087994667,488.6777997994667,9e-06,98798.25799131955,17592454479872.0,13194139533312.0,3,ALLREDUCE,Matmul0:T1
8,256,262144,2048,Mesh 4x4x4,977.3615783312889,977.3615648312889,1.35e-05,197596.5159826391,17592454479872.0,26388279066624.0,3,BROADCAST,Matmul0:T0
8,256,262144,2048,Ring 64,580.3038167807999,580.3037687807999,4.8e-05,53199.31176419328,17592454479872.0,17317308137472.0,3,ALLREDUCE,Matmul0:T1
8,256,262144,4096,"Circulant {1,5,17}",647.5140477308445,647.5140417308445,6e-06,106399.70586014516,35185445830656.0,17592186044416.0,3,BROADCAST,Matmul0:T0
8,256,262144,4096,Torus 4x4x4,977.3675390636445,977.3675300636445,9e-06,197597.59831439768,35185445830656.0,26388279066624.0,3,ALLREDUCE,Matmul0:T1
8,256,262144,4096,Mesh 4x4x4,1954.7589345567112,1954.7589210567112,1.35e-05,395195.19662879535,35185445830656.0,52776558133248.0,3,BROADCAST,Matmul0:T0
8,256,262144,4096,Ring 64,1160.619516026311,1160.619468026311,4.8e-05,106399.70586014516,35185445830656.0,34634616274944.0,3,ALLREDUCE,Matmul0:T1
